serial,lot,fixture,shift,timestamp,step,measurement,value,unit,lower_limit,upper_limit,result,notes
SRB5030-2608-0018,L2608A,FIX-02,A,2026-08-24T09:11:07,2,IQ_NL,11.31,mA,,25.00,PASS,
SRB5030-2608-0018,L2608A,FIX-02,A,2026-08-24T09:11:14,3,VOUT,4.9911,V,4.9500,5.0500,PASS,"retested, first run aborted when the operator bumped the lid"
SRB5030-2608-0018,L2608A,FIX-02,A,2026-08-24T09:11:21,4,LINE_REG,0.110,%,,0.300,PASS,
SRB5030-2608-0018,L2608A,FIX-02,A,2026-08-24T09:11:28,5,LOAD_REG,0.408,%,,0.800,PASS,
SRB5030-2608-0018,L2608A,FIX-02,A,2026-08-24T09:11:35,6,EFF_FL,92.55,%,88.00,,PASS,
SRB5030-2608-0018,L2608A,FIX-02,A,2026-08-24T09:11:42,7,RIPPLE,21.4,mV,,50.0,PASS,
SRB5030-2608-0018,L2608A,FIX-02,A,2026-08-24T09:11:49,8,I_LIM,4.25,A,3.70,5.00,PASS,
SRB5030-2608-0019,L2608A,FIX-03,A,2026-08-24T09:18:00,1,R_OUT,3163.9,ohm,500.0,,PASS,
SRB5030-2608-0019,L2608A,FIX-03,A,2026-08-24T09:18:07,2,IQ_NL,11.18,mA,,25.00,PASS,
SRB5030-2608-0019,L2608A,FIX-03,A,2026-08-24T09:18:14,3,VOUT,4.9622,V,4.9500,5.0500,PASS,
SRB5030-2608-0019,L2608A,FIX-03,A,2026-08-24T09:18:21,4,LINE_REG,0.078,%,,0.300,PASS,
SRB5030-2608-0019,L2608A,FIX-03,A,2026-08-24T09:18:28,5,LOAD_REG,0.392,%,,0.800,PASS,
SRB5030-2608-0019,L2608A,FIX-03,A,2026-08-24T09:18:35,6,EFF_FL,92.34,%,88.00,,PASS,
SRB5030-2608-0019,L2608A,FIX-03,A,2026-08-24T09:18:42,7,RIPPLE,21.1,mV,,50.0,PASS,
SRB5030-2608-0019,L2608A,FIX-03,A,2026-08-24T09:18:49,8,I_LIM,4.35,A,3.70,5.00,PASS,
SRB5030-2608-0020,L2608A,FIX-04,A,2026-08-24T09:25:00,1,R_OUT,3383.6,ohm,500.0,,PASS,
SRB5030-2608-0020,L2608A,FIX-04,A,2026-08-24T09:25:07,2,IQ_NL,11.39,mA,,25.00,PASS,
SRB5030-2608-0020,L2608A,FIX-04,A,2026-08-24T09:25:14,3,VOUT,5.0012,V,4.9500,5.0500,PASS,
SRB5030-2608-0020,L2608A,FIX-04,A,2026-08-24T09:25:21,4,LINE_REG,0.113,%,,0.300,PASS,
SRB5030-2608-0020,L2608A,FIX-04,A,2026-08-24T09:25:28,5,LOAD_REG,0.419,%,,0.800,PASS,
SRB5030-2608-0020,L2608A,FIX-04,A,2026-08-24T09:25:35,6,EFF_FL,92.37,%,88.00,,PASS,
SRB5030-2608-0020,L2608A,FIX-04,A,2026-08-24T09:25:42,7,RIPPLE,21.3,mV,,50.0,PASS,
SRB5030-2608-0020,L2608A,FIX-04,A,2026-08-24T09:25:49,8,I_LIM,4.45,A,3.70,5.00,PASS,
SRB5030-2608-0021,L2608B,FIX-01,A,2026-08-24T09:32:00,1,R_OUT,3205.3,ohm,500.0,,PASS,
SRB5030-2608-0021,L2608B,FIX-01,A,2026-08-24T09:32:07,2,IQ_NL,11.35,mA,,25.00,PASS,
SRB5030-2608-0021,L2608B,FIX-01,A,2026-08-24T09:32:14,3,VOUT,5.0095,V,4.9500,5.0500,PASS,
SRB5030-2608-0021,L2608B,FIX-01,A,2026-08-24T09:32:21,4,LINE_REG,0.108,%,,0.300,PASS,
SRB5030-2608-0021,L2608B,FIX-01,A,2026-08-24T09:32:28,5,LOAD_REG,0.401,%,,0.800,PASS,
SRB5030-2608-0021,L2608B,FIX-01,A,2026-08-24T09:32:35,6,EFF_FL,93.12,%,88.00,,PASS,
SRB5030-2608-0021,L2608B,FIX-01,A,2026-08-24T09:32:42,7,RIPPLE,40.0,mV,,50.0,PASS,
SRB5030-2608-0021,L2608B,FIX-01,A,2026-08-24T09:32:49,8,I_LIM,4.30,A,3.70,5.00,PASS,
SRB5030-2608-0022,L2608B,FIX-02,A,2026-08-24T09:39:00,1,R_OUT,3204.4,ohm,500.0,,PASS,
SRB5030-2608-0022,L2608B,FIX-02,A,2026-08-24T09:39:07,2,IQ_NL,11.03,mA,,25.00,PASS,
SRB5030-2608-0022,L2608B,FIX-02,A,2026-08-24T09:39:14,3,VOUT,4.9774,V,4.9500,5.0500,PASS,
SRB5030-2608-0022,L2608B,FIX-02,A,2026-08-24T09:39:21,4,LINE_REG,0.116,%,,0.300,PASS,
SRB5030-2608-0022,L2608B,FIX-02,A,2026-08-24T09:39:28,5,LOAD_REG,0.399,%,,0.800,PASS,
SRB5030-2608-0022,L2608B,FIX-02,A,2026-08-24T09:39:35,6,EFF_FL,92.42,%,88.00,,PASS,
SRB5030-2608-0022,L2608B,FIX-02,A,2026-08-24T09:39:42,7,RIPPLE,41.1,mV,,50.0,PASS,
SRB5030-2608-0022,L2608B,FIX-02,A,2026-08-24T09:39:49,8,I_LIM,4.15,A,3.70,5.00,PASS,
SRB5030-2608-0023,L2608B,FIX-03,A,2026-08-24T09:46:00,1,R_OUT,3240.0,ohm,500.0,,PASS,
SRB5030-2608-0023,L2608B,FIX-03,A,2026-08-24T09:46:07,2,IQ_NL,11.42,mA,,25.00,PASS,
SRB5030-2608-0023,L2608B,FIX-03,A,2026-08-24T09:46:14,3,VOUT,4.9635,V,4.9500,5.0500,PASS,
SRB5030-2608-0023,L2608B,FIX-03,A,2026-08-24T09:46:21,4,LINE_REG,0.138,%,,0.300,PASS,
SRB5030-2608-0023,L2608B,FIX-03,A,2026-08-24T09:46:28,5,LOAD_REG,0.386,%,,0.800,PASS,
SRB5030-2608-0023,L2608B,FIX-03,A,2026-08-24T09:46:35,6,EFF_FL,92.47,%,88.00,,PASS,
SRB5030-2608-0023,L2608B,FIX-03,A,2026-08-24T09:46:42,7,RIPPLE,46.4,mV,,50.0,PASS,
SRB5030-2608-0023,L2608B,FIX-03,A,2026-08-24T09:46:49,8,I_LIM,4.25,A,3.70,5.00,PASS,
SRB5030-2608-0024,L2608B,FIX-04,A,2026-08-24T09:53:00,1,R_OUT,3331.6,ohm,500.0,,PASS,
SRB5030-2608-0024,L2608B,FIX-04,A,2026-08-24T09:53:07,2,IQ_NL,11.29,mA,,25.00,PASS,
SRB5030-2608-0024,L2608B,FIX-04,A,2026-08-24T09:53:14,3,VOUT,4.9929,V,4.9500,5.0500,PASS,
SRB5030-2608-0024,L2608B,FIX-04,A,2026-08-24T09:53:21,4,LINE_REG,0.121,%,,0.300,PASS,
SRB5030-2608-0024,L2608B,FIX-04,A,2026-08-24T09:53:28,5,LOAD_REG,0.391,%,,0.800,PASS,
SRB5030-2608-0024,L2608B,FIX-04,A,2026-08-24T09:53:35,6,EFF_FL,92.17,%,88.00,,PASS,
SRB5030-2608-0024,L2608B,FIX-04,A,2026-08-24T09:53:42,7,RIPPLE,47.3,mV,,50.0,PASS,
SRB5030-2608-0024,L2608B,FIX-04,A,2026-08-24T09:53:49,8,I_LIM,4.40,A,3.70,5.00,PASS,
SRB5030-2608-0025,L2608C,FIX-01,A,2026-08-24T10:00:00,1,R_OUT,3393.7,ohm,500.0,,PASS,
SRB5030-2608-0025,L2608C,FIX-01,A,2026-08-24T10:00:07,2,IQ_NL,10.99,mA,,25.00,PASS,
SRB5030-2608-0025,L2608C,FIX-01,A,2026-08-24T10:00:14,3,VOUT,4.9693,V,4.9500,5.0500,PASS,
SRB5030-2608-0025,L2608C,FIX-01,A,2026-08-24T10:00:21,4,LINE_REG,0.131,%,,0.300,PASS,
SRB5030-2608-0025,L2608C,FIX-01,A,2026-08-24T10:00:28,5,LOAD_REG,0.436,%,,0.800,PASS,
SRB5030-2608-0025,L2608C,FIX-01,A,2026-08-24T10:00:35,6,EFF_FL,92.70,%,88.00,,PASS,
SRB5030-2608-0025,L2608C,FIX-01,A,2026-08-24T10:00:42,7,RIPPLE,20.2,mV,,50.0,PASS,
SRB5030-2608-0025,L2608C,FIX-01,A,2026-08-24T10:00:49,8,I_LIM,4.20,A,3.70,5.00,PASS,
SRB5030-2608-0026,L2608C,FIX-02,B,2026-08-24T15:12:00,1,R_OUT,3239.5,ohm,500.0,,PASS,
SRB5030-2608-0026,L2608C,FIX-02,B,2026-08-24T15:12:07,2,IQ_NL,11.01,mA,,25.00,PASS,
SRB5030-2608-0026,L2608C,FIX-02,B,2026-08-24T15:12:14,3,VOUT,5.0007,V,4.9500,5.0500,PASS,
SRB5030-2608-0026,L2608C,FIX-02,B,2026-08-24T15:12:21,4,LINE_REG,0.130,%,,0.300,PASS,
SRB5030-2608-0026,L2608C,FIX-02,B,2026-08-24T15:12:28,5,LOAD_REG,0.422,%,,0.800,PASS,
SRB5030-2608-0026,L2608C,FIX-02,B,2026-08-24T15:12:35,6,EFF_FL,92.57,%,88.00,,PASS,
SRB5030-2608-0026,L2608C,FIX-02,B,2026-08-24T15:12:42,7,RIPPLE,19.4,mV,,50.0,PASS,
SRB5030-2608-0026,L2608C,FIX-02,B,2026-08-24T15:12:49,8,I_LIM,4.15,A,3.70,5.00,PASS,
SRB5030-2608-0027,L2608C,FIX-03,B,2026-08-24T15:19:00,1,R_OUT,3464.9,ohm,500.0,,PASS,
SRB5030-2608-0027,L2608C,FIX-03,B,2026-08-24T15:19:07,2,IQ_NL,11.65,mA,,25.00,PASS,
SRB5030-2608-0027,L2608C,FIX-03,B,2026-08-24T15:19:14,3,VOUT,4.9669,V,4.9500,5.0500,PASS,
SRB5030-2608-0027,L2608C,FIX-03,B,2026-08-24T15:19:21,4,LINE_REG,0.132,%,,0.300,PASS,
SRB5030-2608-0027,L2608C,FIX-03,B,2026-08-24T15:19:28,5,LOAD_REG,0.412,%,,0.800,PASS,
SRB5030-2608-0027,L2608C,FIX-03,B,2026-08-24T15:19:35,6,EFF_FL,92.39,%,88.00,,PASS,
SRB5030-2608-0027,L2608C,FIX-03,B,2026-08-24T15:19:42,7,RIPPLE,22.9,mV,,50.0,PASS,
